Survived,Pclass,Sex,Age,SibSp,Parch,Fare,HasCabin,FamilySize,IsAlone,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unknown
0,3,0,-0.5292047224968899,1,0,-0.8415091951021839,0,0.059159876663617626,0,False,True,False,True,False,False,False,False,False,False,False,False,False,True
1,1,1,0.6574473880901118,1,0,2.0194685842347457,1,0.059159876663617626,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False
1,3,1,-0.23254169485013945,0,0,-0.8088053847541327,0,-0.5609748304808925,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True
1,1,1,0.43495011735504896,1,0,1.3799274040950766,1,0.059159876663617626,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False
0,3,0,0.43495011735504896,0,0,-0.8027491235785675,0,-0.5609748304808925,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True
0,3,0,-0.23254169485013945,0,0,-0.7829669520747019,0,-0.5609748304808925,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True
0,1,0,1.8440994986771135,0,0,1.3199704184569823,1,-0.5609748304808925,1,False,True,False,True,False,False,False,False,False,True,False,False,False,False
0,3,0,-2.012519860730642,3,1,-0.17168670908468942,0,1.9195639980971482,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1,3,1,-0.15837593793845184,0,2,-0.6533629629176099,0,0.6792945838081278,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
1,2,1,-1.1225307777903908,1,0,0.26416060518049517,0,0.059159876663617626,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,3,1,-1.8641883469072666,1,1,-0.3836558502294662,1,0.6792945838081278,0,False,True,True,False,False,False,False,False,False,False,False,True,False,False
1,1,1,2.1407625263238637,0,0,0.09357753040505987,1,-0.5609748304808925,1,False,True,True,False,False,False,False,True,False,False,False,False,False,False
0,3,0,-0.677536236320265,0,0,-0.8027491235785675,0,-0.5609748304808925,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True
0,3,0,0.7316131450017994,1,5,0.3225042028414187,0,3.1598334123861687,0,False,True,False,True,False,False,False,False,False,False,False,False,False,True
0,3,1,-1.1225307777903908,0,0,-0.8122356510839728,0,-0.5609748304808925,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True
1,2,1,1.9182652555888011,0,0,-0.4175709128126304,0,-0.5609748304808925,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0,3,0,-2.012519860730642,4,1,0.21833651062169987,0,2.5396987052416584,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,2,0,0.13828708970829856,0,0,-0.5629211810261916,0,-0.5609748304808925,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True
0,3,1,0.13828708970829856,1,0,-0.3206707340035896,0,0.059159876663617626,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
1,3,1,0.13828708970829856,0,0,-0.8427204473372969,0,-0.5609748304808925,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0,2,0,0.43495011735504896,0,0,0.06692998123257361,0,-0.5609748304808925,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True
1,2,0,0.3607843604433614,0,0,-0.5629211810261916,1,-0.5609748304808925,1,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1,3,1,-1.048365020878703,0,0,-0.8037568854381817,0,-0.5609748304808925,1,True,False,True,False,False,False,False,False,False,False,False,False,False,True
1,1,0,-0.08421018102676424,0,0,0.5272058305755174,1,-0.5609748304808925,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False
0,3,1,-1.5675253192605163,3,1,-0.17168670908468942,0,1.9195639980971482,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True
1,3,1,0.6574473880901118,1,5,0.32795483789942725,0,3.1598334123861687,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0,3,0,-0.23254169485013945,0,0,-0.8427204473372969,0,-0.5609748304808925,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0,1,0,-0.7517019932319526,3,2,2.0194685842347457,1,2.5396987052416584,0,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1,3,1,-0.8258677501436402,0,0,-0.8110243988488597,0,-0.5609748304808925,1,True,False,True,False,False,False,False,False,False,False,False,False,False,True
0,3,0,-0.23254169485013945,0,0,-0.8102201273647446,0,-0.5609748304808925,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True
0,1,0,0.805778901913487,0,0,0.15030289507987235,0,-0.5609748304808925,1,False,False,False,False,False,True,False,False,False,False,False,False,False,True
1,1,1,0.805778901913487,1,0,2.0194685842347457,1,0.059159876663617626,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False
1,3,1,-0.8258677501436402,0,0,-0.8172841503999237,0,-0.5609748304808925,1,True,False,True,False,False,False,False,False,False,False,False,False,False,True
0,2,0,2.7340885816173643,0,0,-0.6840464045374927,0,-0.5609748304808925,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True
0,1,0,-0.08421018102676424,1,0,2.0194685842347457,0,0.059159876663617626,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0,1,0,0.9541104157368622,1,0,1.3266323057501042,0,0.059159876663617626,0,False,True,False,True,False,False,False,False,False,False,False,False,False,True
1,3,0,-0.23254169485013945,0,0,-0.8425169569617981,0,-0.5609748304808925,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0,3,0,-0.6033704794085775,0,0,-0.8027491235785675,0,-0.5609748304808925,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True
0,3,1,-0.8258677501436402,2,0,-0.3206707340035896,0,0.6792945838081278,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True
1,3,1,-1.1225307777903908,1,0,-0.6481109732261598,0,0.059159876663617626,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0,3,1,0.805778901913487,1,0,-0.7337077461771261,0,0.059159876663617626,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0,2,1,-0.15837593793845184,1,0,-0.1753204657900284,0,0.059159876663617626,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0,3,0,-0.23254169485013945,0,0,-0.8102201273647446,0,-0.5609748304808925,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1,2,1,-1.9383541038189542,1,2,0.8217436140834778,0,1.299429290952638,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1,3,1,-0.7517019932319526,0,0,-0.8110243988488597,0,-0.5609748304808925,1,True,False,True,False,False,False,False,False,False,False,False,False,False,True
0,3,0,-0.23254169485013945,0,0,-0.8027491235785675,0,-0.5609748304808925,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True
0,3,0,-0.23254169485013945,1,0,-0.4417959575148906,0,0.059159876663617626,0,True,False,False,True,False,False,False,False,False,False,False,False,False,True
1,3,1,-0.8258677501436402,0,0,-0.8172841503999237,0,-0.5609748304808925,1,True,False,True,False,False,False,False,False,False,False,False,False,False,True
0,3,0,-0.23254169485013945,2,0,-0.14241316506647808,0,0.6792945838081278,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0,3,1,-0.8258677501436402,1,0,-0.33036075188449365,0,0.059159876663617626,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0,3,0,-1.641691076172204,4,1,0.7300905799569466,0,2.5396987052416584,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0,3,0,-0.6033704794085775,0,0,-0.8148616459296977,0,-0.5609748304808925,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True
1,1,1,1.4732707141186754,1,0,2.0194685842347457,1,0.059159876663617626,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1,2,1,-0.010044424115076634,1,0,0.06692998123257361,0,0.059159876663617626,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
0,1,0,2.659922824705677,0,1,1.810125437935694,1,0.059159876663617626,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False
1,1,0,0.805778901913487,0,0,0.5272058305755174,1,-0.5609748304808925,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1,2,1,-0.6033704794085775,0,0,-0.6840464045374927,0,-0.5609748304808925,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True
0,3,0,-0.04712730257092044,0,0,-0.8425169569617981,0,-0.5609748304808925,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1,2,1,-1.790022589995579,1,2,0.15171763769048432,0,1.299429290952638,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True
0,3,0,-1.3450280485254535,5,2,1.07953684978705,0,3.779968119530679,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0,3,0,-0.5292047224968899,0,0,-0.8425169569617981,0,-0.5609748304808925,1,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1,1,1,0.6574473880901118,0,0,2.0194685842347457,1,-0.5609748304808925,1,False,True,True,False,False,False,True,False,False,False,False,False,False,False
